timepoint,eeg_feature,geneset,pvalue,es,ranks,nfeatures,q₀,qₜ,qᵧ
12m,peak_amp_P1_corrected,Quinolinic acid degradation,0.0204,-0.1804441192925076,"[4030, 23127, 35996, 41060, 65453, 67215, 70043, 70949, 74271, 86091, 88372, 96813, 100687, 119098, 136505, 136868, 139484, 146425, 154008, 173603, 175150, 177638, 187565, 188194, 189891, 200450, 244234, 253766, 285617, 300654, 303099, 313702, 329975, 335508, 336629, 360818, 369162, 395585, 435746, 440882, 455870, 478988, 499023, 502338, 506206, 512547, 518617, 528304, 544922, 578306, 580305, 591316, 669824, 670476, 693183, 700026, 725470]",733857,0.15495652173913044,0.093024,0.1836
12m,peak_amp_P1_corrected,S-Adenosylmethionine synthesis,0.0202,-0.2521172395372927,"[2114, 21473, 54029, 76476, 96607, 96936, 97646, 107776, 128375, 129934, 131705, 134074, 161106, 162323, 188462, 212967, 327892, 405786, 430300, 440357, 456200, 460651, 472396, 516745, 542153, 566235, 617433, 647723, 654867]",733857,0.15495652173913044,0.093024,0.2428
12m,peak_amp_P1_corrected,Butyrate synthesis,0.0194,-0.2858567942921814,"[13391, 59807, 60168, 64463, 76274, 83938, 93601, 94724, 99547, 100869, 136712, 136992, 159009, 159488, 162807, 263545, 362377, 433688, 482763, 604102, 685556, 691521, 707705]",733857,0.15495652173913044,0.093024,0.1176
12m,peak_latency_N1,ClpB,0.0238,0.28180834555845796,"[2536, 21377, 28142, 37488, 53592, 57758, 93949, 142298, 236454, 376036, 410675, 413725, 486173, 486369, 499000, 522277, 550905, 603564, 642053, 654727, 661746, 694164]",733856,0.1671063829787234,0.10435384615384617,0.12168
6m,peak_amp_N1,Quinolinic acid synthesis,0.0252,-0.2758289842059646,"[2207, 6931, 23506, 68690, 73416, 126166, 134409, 178071, 206494, 209458, 215590, 222894, 258476, 263991, 264361, 318036, 351964, 353587, 358766, 475999, 509190, 535173, 576049, 589788]",641532,0.17325000000000002,0.16898823529411766,0.2268
6m,peak_amp_N2_corrected,Tryptophan synthesis,0.0268,0.13047311623882374,"[223, 817, 3582, 8478, 10601, 12564, 12803, 14843, 18530, 19377, 22093, 24667, 28971, 29183, 38583, 40793, 43525, 44323, 47315, 57396, 58570, 60377, 61823, 62000, 82113, 88894, 95665, 109288, 113422, 116810, 127073, 128234, 145981, 146363, 147152, 175396, 178194, 183803, 187401, 188200, 188323, 213424, 220055, 223631, 225790, 226873, 227115, 227145, 227172, 234987, 235594, 239395, 243846, 254878, 261955, 268385, 272918, 283951, 292399, 304200, 339180, 364609, 371209, 371210, 386491, 386629, 386887, 394597, 394672, 401082, 401828, 402054, 416635, 424531, 448128, 448527, 448530, 449378, 455374, 458774, 469194, 469240, 478247, 480428, 480889, 483968, 484862, 495503, 503097, 510848, 513714, 524387, 527305, 527383, 538481, 556506, 559305, 560571, 574966, 576093, 588477, 589798, 608744, 617949, 625820, 635511]",641532,0.18048979591836736,0.16973333333333332,0.06891428571428572
12m,peak_latency_N2_corrected,Glutamate degradation,0.0294,0.31522964071285103,"[18261, 76550, 261343, 283186, 290209, 307839, 308035, 377263, 389628, 448833, 517340, 565551, 589492, 636458, 644011, 661017]",733858,0.19404,0.12413333333333333,0.1323
6m,peak_latency_P1_corrected,ClpB,0.0302,-0.29505608738945843,"[1249, 2705, 16041, 44758, 77693, 237005, 376283, 417017, 428017, 449984, 468152, 472060, 490011, 496519, 505170, 516424, 580524, 588860, 604416]",641532,0.19541176470588237,0.1812,0.12168
3m,peak_latency_N1,Menaquinone synthesis,0.0352,0.13933982357575653,"[1037, 4235, 5580, 6018, 10656, 12015, 16590, 17198, 30075, 45387, 48798, 59645, 61415, 64911, 76897, 89389, 89479, 95668, 96268, 103509, 106963, 109890, 118271, 120194, 120601, 128230, 131316, 135939, 137596, 141412, 147243, 149577, 157652, 161449, 162652, 170161, 197331, 199308, 201151, 204961, 215621, 216111, 217213, 227450, 229231, 239986, 256891, 264267, 264437, 274701, 296091, 296394, 303227, 304083, 314916, 318438, 328403, 333423, 335568, 345966, 355234, 379091, 384772, 384868, 396805, 405379, 431015, 450869, 452346, 464728, 468287, 477593, 491190, 494796, 497210, 511166, 517661, 529530, 537379, 539019, 545503, 546299, 559940, 562531, 571978]",572522,0.198,0.3382604651162791,0.1056
3m,peak_amp_N2_corrected,GABA synthesis,0.0354,-0.3458315804776735,"[32506, 71872, 123602, 226465, 266907, 344265, 350532, 405853, 416800, 434870, 460301, 483246, 523207]",572522,0.198,0.3382604651162791,0.2124
6m,peak_latency_N1,Propionate synthesis,0.034,-0.2936314198391098,"[46860, 49403, 52291, 183868, 185806, 230171, 270586, 283063, 289165, 415173, 420233, 511837, 577869, 577993, 579021, 592710, 594049, 595819]",641532,0.198,0.18136363636363637,0.30600000000000005
6m,peak_amp_P1_corrected,DOPAC synthesis,0.0342,-0.4588740000111341,"[3301, 26875, 156561, 197081, 337516, 364293, 609183]",641532,0.198,0.18136363636363637,0.2032
